"1 -gram","frequency"
"the",0.0735294117647059
"to",0.0441176470588235
"bestirre",0.0294117647058824
"cheerely",0.0294117647058824
"good",0.0294117647058824
"hearts",0.0294117647058824
"master",0.0294117647058824
"my",0.0294117647058824
"yare",0.0294117647058824
"a",0.0147058823529412
"below",0.0147058823529412
"blow",0.0147058823529412
"bote",0.0147058823529412
"boteswain",0.0147058823529412
"burst",0.0147058823529412
"care",0.0147058823529412
"cheer",0.0147058823529412
"enough",0.0147058823529412
"fall",0.0147058823529412
"ground",0.0147058823529412
"have",0.0147058823529412
"heigh",0.0147058823529412
"here",0.0147058823529412
"i",0.0147058823529412
"if",0.0147058823529412
"in",0.0147058823529412
"is",0.0147058823529412
"it",0.0147058823529412
"keep",0.0147058823529412
"mariners",0.0147058823529412
"masters",0.0147058823529412
"men",0.0147058823529412
"now",0.0147058823529412
"or",0.0147058823529412
"our",0.0147058823529412
"play",0.0147058823529412
"pray",0.0147058823529412
"room",0.0147058823529412
"run",0.0147058823529412
"sale",0.0147058823529412
"selves",0.0147058823529412
"speak",0.0147058823529412
"swaine",0.0147058823529412
"take",0.0147058823529412
"tend",0.0147058823529412
"thou",0.0147058823529412
"thy",0.0147058823529412
"till",0.0147058823529412
"toppe",0.0147058823529412
"we",0.0147058823529412
"what",0.0147058823529412
"where",0.0147058823529412
"whistle",0.0147058823529412
"wind",0.0147058823529412
"yarely",0.0147058823529412
